Dplus KIA results,,,,,,,,,,,,,,,,
DK Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
LOSS,0-2,Blue,10,57.7,3,2,HLE,18,68,10,3,34:06:00,Dplus KIA vs HLE (2),13.14,WEEK9,LCK Summer 2023
LOSS,|,Blue,5,50.8,3,1,HLE,18,65.2,10,4,31:38:00,Dplus KIA vs HLE (1),13.14,WEEK9,LCK Summer 2023
WIN,Feb-00,Blue,15,68.1,11,1,NS,12,61.8,0,4,34:44:00,NS vs Dplus KIA (2),13.14,WEEK9,LCK Summer 2023
WIN,|,Red,19,68,8,5,NS,15,64.7,7,0,36:31:00,NS vs Dplus KIA (1),13.14,WEEK9,LCK Summer 2023
LOSS,0-2,Blue,15,70.4,9,1,GEN,26,78.5,10,5,40:00:00,GEN vs Dplus KIA (2),13.13,WEEK8,LCK Summer 2023
LOSS,|,Red,11,58.3,4,2,GEN,23,68.8,10,3,33:01:00,GEN vs Dplus KIA (1),13.13,WEEK8,LCK Summer 2023
WIN,Feb-00,Blue,12,56.2,8,2,KDF,4,43.8,1,2,27:32:00,Dplus KIA vs KDF (2),13.13,WEEK8,LCK Summer 2023
WIN,|,Blue,21,59,9,3,KDF,4,49.5,3,1,28:40:00,Dplus KIA vs KDF (1),13.13,WEEK8,LCK Summer 2023
WIN,1-Feb,Red,19,66.6,9,4,BRO,5,57.5,5,1,33:27:00,BRION vs Dplus KIA (3),13.12,WEEK7,LCK Summer 2023
WIN,|,Blue,15,61,9,4,BRO,2,48.5,3,0,30:51:00,BRION vs Dplus KIA (2),13.12,WEEK7,LCK Summer 2023
LOSS,|,Red,0,43.9,2,0,BRO,17,57.3,11,4,27:54:00,BRION vs Dplus KIA (1),13.12,WEEK7,LCK Summer 2023
LOSS,0-2,Blue,6,56.9,3,0,KT,13,63,7,4,35:50:00,Dplus KIA vs KT Rolster (2),13.12,WEEK7,LCK Summer 2023
LOSS,|,Blue,9,55.8,4,1,KT,18,62.4,7,3,31:06:00,Dplus KIA vs KT Rolster (1),13.12,WEEK7,LCK Summer 2023
WIN,Feb-00,Red,26,87,11,6,T1,15,77,3,0,41:10:00,Dplus KIA vs T1 (2),13.12,WEEK6,LCK Summer 2023
WIN,|,Blue,15,75.8,7,4,T1,16,77.5,6,3,43:04:00,Dplus KIA vs T1 (1),13.12,WEEK6,LCK Summer 2023
WIN,Feb-00,Blue,13,66.8,11,4,LSB,7,55.1,3,1,34:02:00,LSB vs Dplus KIA (2),13.12,WEEK6,LCK Summer 2023
WIN,|,Red,24,72.1,10,4,LSB,17,64,1,1,36:54:00,LSB vs Dplus KIA (1),13.12,WEEK6,LCK Summer 2023
WIN,Feb-00,Red,29,55.3,8,4,DRX,6,39,2,0,24:56:00,Dplus KIA vs DRX (2),13.12,WEEK5,LCK Summer 2023
WIN,|,Blue,16,52.9,10,3,DRX,4,40.9,1,1,25:33:00,Dplus KIA vs DRX (1),13.12,WEEK5,LCK Summer 2023
WIN,Feb-00,Blue,24,61.3,8,4,KDF,11,50,2,0,30:00:00,KDF vs Dplus KIA (2),13.12,WEEK5,LCK Summer 2023
WIN,|,Blue,17,62.5,11,4,KDF,7,53.1,3,0,30:05:00,KDF vs Dplus KIA (1),13.12,WEEK5,LCK Summer 2023
LOSS,0-2,Blue,12,51.1,2,1,T1,24,62.4,9,4,30:10:00,T1 vs Dplus KIA (2),13.12,WEEK4,LCK Summer 2023
LOSS,|,Red,8,45.6,2,0,T1,17,55.8,8,4,27:35:00,T1 vs Dplus KIA (1),13.12,WEEK4,LCK Summer 2023
WIN,Feb-00,Red,18,55.3,7,4,HLE,6,44.6,3,0,27:09:00,HLE vs Dplus KIA (2),13.12,WEEK4,LCK Summer 2023
WIN,|,Red,15,67.5,11,5,HLE,4,55.6,4,0,32:56:00,HLE vs Dplus KIA (1),13.12,WEEK4,LCK Summer 2023
LOSS,2-Jan,Red,2,38.1,2,0,GEN,11,47.8,7,3,24:38:00,Dplus KIA vs GEN (3),13.11,WEEK3,LCK Summer 2023
WIN,|,Blue,8,56.3,8,4,GEN,3,48.5,2,0,31:06:00,Dplus KIA vs GEN (2),13.11,WEEK3,LCK Summer 2023
LOSS,|,Blue,4,49.2,2,1,GEN,10,58.1,9,3,30:14:00,Dplus KIA vs GEN (1),13.11,WEEK3,LCK Summer 2023
LOSS,0-2,Blue,4,36.7,1,0,KT,17,48.2,7,3,22:35,KT Rolster vs Dplus KIA (2),13.11,WEEK3,LCK Summer 2023
LOSS,|,Red,9,60.6,0,3,KT,9,70.9,10,2,37:01:00,KT Rolster vs Dplus KIA (1),13.11,WEEK3,LCK Summer 2023
WIN,Feb-00,Red,12,60.2,11,4,NS,9,51.1,1,0,31:18:00,Dplus KIA vs NS (2),13.11,WEEK2,LCK Summer 2023
WIN,|,Blue,14,58.4,10,4,NS,6,50.5,3,1,29:11:00,Dplus KIA vs NS (1),13.11,WEEK2,LCK Summer 2023
LOSS,2-Jan,Blue,4,53.5,1,0,BRO,8,61.1,9,4,34:09:00,Dplus KIA vs BRION (3),13.11,WEEK2,LCK Summer 2023
LOSS,|,Red,4,53,1,1,BRO,10,59.9,8,4,32:14:00,Dplus KIA vs BRION (2),13.11,WEEK2,LCK Summer 2023
WIN,|,Blue,11,56.1,10,3,BRO,3,44.1,2,1,27:58:00,Dplus KIA vs BRION (1),13.11,WEEK2,LCK Summer 2023
WIN,1-Feb,Blue,20,74.6,8,3,DRX,11,69.8,5,3,41:09:00,DRX vs Dplus KIA (3),13.1,WEEK1,LCK Summer 2023
LOSS,|,Red,13,57.5,1,4,DRX,13,63.8,7,1,34:26:00,DRX vs Dplus KIA (2),13.1,WEEK1,LCK Summer 2023
WIN,|,Red,13,45.9,7,3,DRX,2,30.7,0,0,21:44,DRX vs Dplus KIA (1),13.1,WEEK1,LCK Summer 2023
WIN,Feb-00,Red,22,61.8,10,3,LSB,6,47.5,3,1,29:24:00,Dplus KIA vs LSB (2),13.1,WEEK1,LCK Summer 2023
WIN,|,Blue,11,58.1,9,4,LSB,0,43.9,2,0,29:38:00,Dplus KIA vs LSB (1),13.1,WEEK1,LCK Summer 2023
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
