NRG results,,,,,,,,,,,,,,,,
NRG Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
LOSS,0-1,Red,14,56.3,3,1,IMT,22,65.4,10,4,33:06:00,Immortals vs NRG,13.13,WEEK6,LCS Summer 2023
LOSS,0-1,Red,4,53.9,4,2,100,16,65.9,9,3,35:08:00,100 Thieves vs NRG,13.13,WEEK6,LCS Summer 2023
WIN,Jan-00,Blue,15,72.1,11,4,C9,15,71.3,3,2,38:18:00,NRG vs Cloud9,13.13,WEEK6,LCS Summer 2023
WIN,Jan-00,Red,20,71.1,11,4,GG,15,63.9,3,0,35:54:00,GG vs NRG,13.13,WEEK5,LCS Summer 2023
WIN,Jan-00,Blue,28,83.5,9,4,DIG,13,79.2,7,3,43:49:00,NRG vs Dignitas,13.13,WEEK5,LCS Summer 2023
WIN,Jan-00,Red,15,53.6,11,2,FLY,6,43.6,1,1,27:26:00,FlyQuest vs NRG,13.13,WEEK5,LCS Summer 2023
WIN,Jan-00,Blue,25,62.1,11,2,EG,7,43.9,0,1,28:00:00,NRG vs EG,13.13,WEEK4,LCS Summer 2023
LOSS,0-1,Red,4,54.6,2,1,TSM,22,69.1,10,4,35:01:00,TSM vs NRG,13.13,WEEK4,LCS Summer 2023
WIN,Jan-00,Blue,14,58.1,8,2,TL,12,59.8,9,3,31:00:00,NRG vs Team Liquid,13.13,WEEK4,LCS Summer 2023
LOSS,0-1,Red,10,60.4,3,0,DIG,14,64.6,9,4,34:28:00,Dignitas vs NRG,13.12,WEEK3,LCS Summer 2023
LOSS,0-1,Blue,5,60.2,3,2,FLY,7,66.9,9,4,36:44:00,NRG vs FlyQuest,13.12,WEEK3,LCS Summer 2023
WIN,Jan-00,Blue,22,94.9,10,4,GG,13,90.5,5,4,50:16:00,NRG vs GG,13.12,WEEK3,LCS Summer 2023
WIN,Jan-00,Red,20,61.7,10,2,C9,8,53.4,4,2,29:59:00,Cloud9 vs NRG,13.12,WEEK2,LCS Summer 2023
LOSS,0-1,Blue,5,42.7,2,0,TSM,17,52.4,8,4,26:35:00,NRG vs TSM,13.12,WEEK2,LCS Summer 2023
LOSS,0-1,Red,6,48.3,0,2,TL,22,65.3,9,2,31:01:00,Team Liquid vs NRG,13.12,WEEK2,LCS Summer 2023
,,Blue,,,,,,,,,,,,,,
,,Blue,,,,,,,,,,,,,,
,,Red,,,,,,,,,,,,,,
