Weibo Gaming results,,,,,,,,,,,,,,,,
WBG Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,Feb-00,Red,20,48.4,8,2,EDG,3,37.6,2,1,24:32:00,WBG vs EDG (2),13.12,WEEK7,LPL Summer 2023
WIN,|,Blue,29,71.5,8,2,EDG,16,66.3,5,4,36:49:00,WBG vs EDG (1),13.12,WEEK7,LPL Summer 2023
WIN,1-Feb,Red,19,64.4,8,3,RNG,10,52.5,2,2,32:45:00,RNG vs WBG (3),13.12,WEEK7,LPL Summer 2023
LOSS,|,Red,2,38,0,0,RNG,15,48.1,8,3,25:00:00,RNG vs WBG (2),13.12,WEEK7,LPL Summer 2023
WIN,|,Red,15,66,11,4,RNG,0,53.5,5,1,31:49:00,RNG vs WBG (1),13.12,WEEK7,LPL Summer 2023
LOSS,0-2,Blue,14,61.4,3,1,IG,34,76.4,10,4,36:06:00,IG vs WBG (2),13.12,WEEK7,LPL Summer 2023
LOSS,|,Red,5,44.4,2,0,IG,20,57.5,9,4,27:12:00,IG vs WBG (1),13.12,WEEK7,LPL Summer 2023
WIN,Feb-00,Blue,21,60.1,9,1,AL,10,48.7,4,3,29:03:00,AL vs WBG (2),13.12,WEEK6,LPL Summer 2023
WIN,|,Blue,19,59.3,11,1,AL,11,46.2,0,2,27:27:00,AL vs WBG (1),13.12,WEEK6,LPL Summer 2023
WIN,Feb-00,Red,15,53.4,10,2,UP,4,40.3,3,1,25:43:00,WBG vs Ultra Prime (2),13.12,WEEK6,LPL Summer 2023
WIN,|,Blue,17,45.9,9,1,UP,1,33.3,1,1,21:29,WBG vs Ultra Prime (1),13.12,WEEK6,LPL Summer 2023
LOSS,2-Jan,Blue,5,51.8,2,1,WE,15,64.6,10,4,32:04:00,WBG vs Team WE (3),13.12,WEEK6,LPL Summer 2023
WIN,|,Blue,17,64.6,8,3,WE,5,50.3,2,1,31:37:00,WBG vs Team WE (2),13.12,WEEK6,LPL Summer 2023
LOSS,|,Blue,2,46.1,3,2,WE,15,56.3,7,1,28:41:00,WBG vs Team WE (1),13.12,WEEK6,LPL Summer 2023
WIN,Feb-00,Blue,13,59.2,10,4,NIP,4,43.9,1,0,29:05:00,WBG vs NIP (2),13.12,WEEK5,LPL Summer 2023
WIN,|,Blue,15,56.2,11,4,NIP,6,45.7,3,0,27:37:00,WBG vs NIP (1),13.12,WEEK5,LPL Summer 2023
LOSS,2-Jan,Blue,12,61,3,2,FPX,16,65.4,9,3,35:03:00,WBG vs FPX (3),13.12,WEEK5,LPL Summer 2023
WIN,|,Blue,13,55.5,10,2,FPX,9,47.4,3,1,27:41:00,WBG vs FPX (2),13.12,WEEK5,LPL Summer 2023
LOSS,|,Blue,6,48.3,2,1,FPX,12,55.8,7,4,30:04:00,WBG vs FPX (1),13.12,WEEK5,LPL Summer 2023
LOSS,2-Jan,Red,6,56.5,6,4,BLG,10,58.6,7,0,32:45:00,WBG vs BLG (3),13.11,WEEK4,LPL Summer 2023
LOSS,|,Blue,3,36.2,1,0,BLG,13,46.9,7,3,23:51,WBG vs BLG (2),13.11,WEEK4,LPL Summer 2023
WIN,|,Blue,22,80.7,10,4,BLG,10,69.3,4,1,41:37:00,WBG vs BLG (1),13.11,WEEK4,LPL Summer 2023
WIN,Feb-00,Red,23,72.1,8,3,TT,11,63.2,4,3,37:42:00,WBG vs TT (2),13.11,WEEK4,LPL Summer 2023
WIN,|,Blue,11,56.9,9,1,TT,8,48.7,2,3,29:31:00,WBG vs TT (1),13.11,WEEK4,LPL Summer 2023
WIN,1-Feb,Red,17,58.1,9,1,RA,8,49.8,2,3,32:02:00,Rare Atom vs WBG (3),13.11,WEEK3,LPL Summer 2023
LOSS,|,Red,13,60.1,2,2,RA,22,69.4,9,3,36:07:00,Rare Atom vs WBG (2),13.11,WEEK3,LPL Summer 2023
WIN,|,Red,16,61.9,11,4,RA,5,48.3,1,0,30:21:00,Rare Atom vs WBG (1),13.11,WEEK3,LPL Summer 2023
WIN,Feb-00,Red,20,51.4,10,4,LGD,0,37.3,1,0,25:26:00,WBG vs LGD Gaming (2),13.11,WEEK3,LPL Summer 2023
WIN,|,Red,9,61.7,6,2,LGD,6,62.6,9,2,34:28:00,WBG vs LGD Gaming (1),13.11,WEEK3,LPL Summer 2023
LOSS,2-Jan,Red,6,45.3,1,0,TES,22,55.9,7,4,29:08:00,Top Esports vs WBG (3),13.1,WEEK2,LPL Summer 2023
LOSS,|,Blue,2,40.1,2,0,TES,10,51.8,9,4,26:10:00,Top Esports vs WBG (2),13.1,WEEK2,LPL Summer 2023
WIN,|,Red,18,63.3,10,2,TES,10,54.9,3,3,32:33:00,Top Esports vs WBG (1),13.1,WEEK2,LPL Summer 2023
WIN,Feb-00,Blue,16,56.6,10,2,LNG,13,44.8,0,2,28:07:00,LNG Esports vs WBG (2),13.1,WEEK2,LPL Summer 2023
WIN,|,Red,11,60,9,2,LNG,4,52.9,5,2,30:34:00,LNG Esports vs WBG (1),13.1,WEEK2,LPL Summer 2023
LOSS,2-Jan,Blue,5,61,2,2,OMG,13,66.6,8,4,38:03:00,OMG vs WBG (3),13.1,WEEK1,LPL Summer 2023
WIN,|,Blue,12,50.6,10,3,OMG,3,37.5,0,0,25:50:00,OMG vs WBG (2),13.1,WEEK1,LPL Summer 2023
LOSS,|,Blue,4,48.7,1,0,OMG,14,60.2,11,4,30:40:00,OMG vs WBG (1),13.1,WEEK1,LPL Summer 2023
WIN,Feb-00,Red,15,62.2,9,3,JDG,5,56.6,6,1,33:48:00,WBG vs JD Gaming (2),13.1,WEEK1,LPL Summer 2023
WIN,|,Blue,14,51.4,7,3,JDG,1,40.7,1,0,26:37:00,WBG vs JD Gaming (1),13.1,WEEK1,LPL Summer 2023
