Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%
Bilibili Gaming,S13,CN,18,50.00%,1.11,1811,29,33:19:00,12.8,11.6,6.2,5.9,66.7,61.1,2.56,52.8
Cloud9,S13,NA,6,33.30%,0.83,1809,-153,31:00:00,11.7,14,5.3,7.3,33.3,66.7,1.17,26.7
Dplus KIA,S13,KR,8,50.00%,1.19,1849,82,31:40:00,11.6,9.8,6.5,5.6,50,37.5,2.88,69.4
Fnatic,S13,EUW,9,44.40%,0.83,1843,-49,29:56:00,12.7,15.2,5.4,6.4,44.4,44.4,2.67,61.3
G2 Esports,S13,EUW,9,33.30%,0.54,1722,-226,34:35:00,10.2,18.8,4.3,8.3,55.6,33.3,1.78,32
GAM Esports,S13,VN,7,28.60%,0.6,1725,-223,26:45:00,8.3,13.7,3.6,7.3,57.1,42.9,1.14,30.5
Gen.G eSports,S13,KR,9,66.70%,1.47,1895,117,32:08:00,13.9,9.4,7,5.2,22.2,44.4,2.33,52.5
JD Gaming,S13,CN,13,61.50%,1.1,1854,75,28:55:00,12.2,11.1,6.2,4.6,38.5,46.2,2.15,53.1
KT Rolster,S13,KR,12,50.00%,1.04,1810,15,33:33:00,12.2,11.8,5.8,5.5,50,75,2,43.3
LNG Esports,S13,CN,11,45.50%,0.96,1774,-42,29:12:00,9.4,9.7,5.2,5.7,63.6,36.4,1.45,35.2
MAD Lions,S13,EUW,5,20.00%,0.79,1757,-127,33:08:00,12.6,16,5,8,40,40,2.6,51.6
NRG,S13,NA,8,50.00%,1.19,1780,-6,32:37:00,14.3,12,5.6,5.6,50,25,2.38,50.3
T1,S13,KR,15,86.70%,2.08,1927,274,29:36:00,14,6.7,7.9,3.1,66.7,73.3,3.13,77.8
Team BDS,S13,EUW,4,0.00%,0.41,1682,-341,26:59:00,6,14.5,2.8,9.5,50,25,1,27.9
Team Liquid,S13,NA,5,20.00%,0.57,1717,-164,31:16:00,8.8,15.4,4.8,7.2,20,40,1.6,44
Weibo Gaming,S13,CN,19,57.90%,1.06,1819,42,31:08:00,13.1,12.3,6.2,5.2,47.4,52.6,2.26,50.3
,,Blue,,,,,,,,,,,,,,
,,Blue,,,,,,,,,,,,,,
,,Red,,,,,,,,,,,,,,
